[description:"organize images" due:"1629874800" end:"1629841455" entry:"1629830685" modified:"1629841455" project:"VOLTORB" status:"completed" uuid:"3088ea12-25cf-4ce7-b392-9056349c8f17"]
[description:"download images" due:"1630306800" end:"1629841212" entry:"1629830701" modified:"1629841212" project:"VOLTORB" status:"completed" uuid:"d526c661-9a1c-4aeb-86de-7f8d2dfed287"]
[description:"reminder to take breaks" due:"1629097200" end:"1629830631" entry:"1628619045" modified:"1629830631" status:"completed" uuid:"8960c223-a162-4872-9e8e-3f0543a03203"]
[description:"ask nana for microphone" due:"1628665200" end:"1629830631" entry:"1628619073" modified:"1629830631" status:"completed" uuid:"b9b32de5-0f9d-4c99-8887-c82ea8ab3cab"]
[description:"SAT diagnostic complete" due:"1628665200" end:"1628620489" entry:"1628619012" modified:"1628620489" project:"college" status:"completed" uuid:"b922b717-a958-4588-8b76-73c16a8ca03b"]
[description:"follow up recordings" due:"1622790000" end:"1628618952" entry:"1622646280" mask:"++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++X" modified:"1628618952" recur:"daily" status:"deleted" uuid:"5446b385-881a-4eb4-845c-f598150568c7"]
[description:"change soundtrack names" due:"1625979600" end:"1627257388" entry:"1625949029" modified:"1627257390" status:"completed" uuid:"ef9bd7d5-15c7-4626-b0a7-329a3cd2874b"]
[description:"clean room" due:"1625979600" end:"1627257390" entry:"1625949054" modified:"1627257390" status:"completed" uuid:"6a1e057f-3ebd-4a45-b239-0d28617e2834"]
[description:"follow up recordings" due:"1626073200" end:"1627257390" entry:"1627257324" imask:"38" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"2693bad6-f1b6-477b-85a3-eabea0ed776c"]
[description:"follow up recordings" due:"1626159600" end:"1627257390" entry:"1627257324" imask:"39" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"5ae02583-63d8-42d6-88ba-7356b579be40"]
[description:"follow up recordings" due:"1626246000" end:"1627257390" entry:"1627257324" imask:"40" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"4c5874ef-e199-4a92-8045-b5e2b1f816aa"]
[description:"follow up recordings" due:"1626332400" end:"1627257390" entry:"1627257324" imask:"41" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"d739c26f-c1f4-44e2-bcda-20afeda178c8"]
[description:"follow up recordings" due:"1626418800" end:"1627257390" entry:"1627257324" imask:"42" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"6a6d3ed1-1209-4dda-aec4-3e47c733953c"]
[description:"follow up recordings" due:"1626505200" end:"1627257390" entry:"1627257324" imask:"43" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"e83948ae-1013-4e92-b508-22b7064d8a6e"]
[description:"follow up recordings" due:"1626591600" end:"1627257390" entry:"1627257324" imask:"44" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"2f016187-9b0d-4d36-81d0-2f605305ba08"]
[description:"follow up recordings" due:"1626678000" end:"1627257390" entry:"1627257324" imask:"45" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"b5001ef4-3c0d-4b46-b6c9-96368662a50c"]
[description:"follow up recordings" due:"1626764400" end:"1627257390" entry:"1627257324" imask:"46" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"94f9ba70-18dc-4245-87b0-5522a28e5d6e"]
[description:"follow up recordings" due:"1626850800" end:"1627257390" entry:"1627257324" imask:"47" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"8a8822f3-1497-4587-b30c-b1a204d40346"]
[description:"follow up recordings" due:"1626937200" end:"1627257390" entry:"1627257324" imask:"48" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"681f3219-4185-4675-83e0-fabc2c304ec0"]
[description:"follow up recordings" due:"1627023600" end:"1627257390" entry:"1627257324" imask:"49" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"28029b9d-1cd6-42b1-a0b1-14a79e750c5c"]
[description:"follow up recordings" due:"1627110000" end:"1627257390" entry:"1627257324" imask:"50" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"058c4c9d-3827-479f-a889-676919c93bdd"]
[description:"follow up recordings" due:"1627196400" end:"1627257390" entry:"1627257324" imask:"51" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"51d8c9fc-a6c8-490f-bfc4-730fc91e3add"]
[description:"follow up recordings" due:"1627282800" end:"1627257390" entry:"1627257324" imask:"52" modified:"1627257390" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"1c185dd1-6c6e-493c-824a-e5ea35e1a530"]
[description:"BPQ Question 1" due:"1624086000" end:"1625948948" entry:"1621631686" modified:"1625948951" project:"School" status:"completed" uuid:"9d9fe2c8-9f9c-4444-9318-9cc06429176f"]
[description:"BPQ Question 2" due:"1624086000" end:"1625948951" entry:"1621631688" modified:"1625948951" project:"School" status:"completed" uuid:"567bfdfa-261c-454a-a227-7c2e3a29c77c"]
[description:"BPQ Question 3" due:"1624086000" end:"1625948951" entry:"1621631689" modified:"1625948951" project:"School" status:"completed" uuid:"9290878a-4f9e-4019-bc8c-03b567ef539b"]
[description:"BPQ Question 4" due:"1624086000" end:"1625948951" entry:"1621631691" modified:"1625948951" project:"School" status:"completed" uuid:"f5715a02-720b-4f5e-b7fb-ee1fe9856569"]
[description:"10ff without python" end:"1625948951" entry:"1622766935" modified:"1625948951" status:"completed" uuid:"ed55d424-0ebf-491c-81f1-dd7f8a491a1f"]
[description:"keynav config" due:"2147414400" end:"1625948951" entry:"1623964703" modified:"1625948951" status:"completed" uuid:"9513771e-708f-4f58-be79-07c42e64aacc"]
[description:"copy telugu notes" due:"1624258800" end:"1625948951" entry:"1623964843" modified:"1625948951" project:"Prerana" status:"completed" uuid:"44a6094c-45b7-42bc-868f-c884852d24b4"]
[description:"math learning target" due:"1624345200" end:"1625948951" entry:"1623964864" modified:"1625948951" project:"School" status:"completed" uuid:"7bb87ccb-c3d5-46cd-8b88-117af67bf846"]
[description:"email ms gatewood" due:"1710057600" end:"1625948951" entry:"1624039931" modified:"1625948951" status:"completed" uuid:"7d50eb2e-2430-4e3a-b7e6-ed8958cbc3ec"]
[description:"follow up recordings" due:"1624086000" end:"1625948951" entry:"1624055065" imask:"15" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"114e6b79-d208-4d24-a4f8-967d8b3203a6"]
[description:"follow up recordings" due:"1624172400" end:"1625948951" entry:"1625948940" imask:"16" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"dcef66fa-e262-4483-991a-b212e4bdf4c6"]
[description:"follow up recordings" due:"1624258800" end:"1625948951" entry:"1625948940" imask:"17" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"058895ca-33f4-45f4-a09c-a28cf4b8818f"]
[description:"follow up recordings" due:"1624345200" end:"1625948951" entry:"1625948940" imask:"18" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"4df2da1f-bc16-4035-9737-a985768e25e5"]
[description:"follow up recordings" due:"1624431600" end:"1625948951" entry:"1625948940" imask:"19" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"b2df79d2-d430-4237-87d6-795800dc2eaa"]
[description:"follow up recordings" due:"1624518000" end:"1625948951" entry:"1625948940" imask:"20" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"e2b1dc00-f2dc-487e-81de-75ab3d04fc0b"]
[description:"follow up recordings" due:"1624604400" end:"1625948951" entry:"1625948940" imask:"21" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"8fa4024a-e044-4112-909a-b3ff2eb99bcd"]
[description:"follow up recordings" due:"1624690800" end:"1625948951" entry:"1625948940" imask:"22" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"8fe02996-d2b2-43e0-97d4-3bb83de46e73"]
[description:"follow up recordings" due:"1624777200" end:"1625948951" entry:"1625948940" imask:"23" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"98bd3526-2370-4ac1-bed9-45eff1b780df"]
[description:"follow up recordings" due:"1624863600" end:"1625948951" entry:"1625948940" imask:"24" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"acb29994-c1ad-4108-a6c2-a8d7c074660c"]
[description:"follow up recordings" due:"1624950000" end:"1625948951" entry:"1625948940" imask:"25" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"12ca73fd-3e83-4c68-8861-93bdbe5ec6fe"]
[description:"follow up recordings" due:"1625036400" end:"1625948951" entry:"1625948940" imask:"26" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"1dae422b-74e4-4186-9d1c-86f5ea728738"]
[description:"follow up recordings" due:"1625122800" end:"1625948951" entry:"1625948940" imask:"27" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"e3ce362f-c709-4e61-a44c-310bbdb8009a"]
[description:"follow up recordings" due:"1625209200" end:"1625948951" entry:"1625948940" imask:"28" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"647d43d5-5e32-4056-86a3-fbe72c8a19ba"]
[description:"follow up recordings" due:"1625295600" end:"1625948951" entry:"1625948940" imask:"29" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"fe495f35-be67-4b65-87b4-525a1eae85ed"]
[description:"follow up recordings" due:"1625382000" end:"1625948951" entry:"1625948940" imask:"30" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"78bf3edb-a831-4a91-ae7f-ba1c42eee018"]
[description:"follow up recordings" due:"1625468400" end:"1625948951" entry:"1625948940" imask:"31" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"bedb6727-e66a-426f-af57-2f7e417bd0f1"]
[description:"follow up recordings" due:"1625554800" end:"1625948951" entry:"1625948940" imask:"32" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"c61fc3dd-5f01-49a2-b2ab-f6b8d7453559"]
[description:"follow up recordings" due:"1625641200" end:"1625948951" entry:"1625948940" imask:"33" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"2bc66fa8-a09d-4595-869d-f22eae5c327b"]
[description:"follow up recordings" due:"1625727600" end:"1625948951" entry:"1625948940" imask:"34" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"0ee42edf-a3d5-4193-9da2-f2cd0b66a5f4"]
[description:"follow up recordings" due:"1625814000" end:"1625948951" entry:"1625948940" imask:"35" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"abca8fb4-6075-4533-9b43-95718fcfa708"]
[description:"follow up recordings" due:"1625900400" end:"1625948951" entry:"1625948940" imask:"36" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"7a255e78-9855-412e-a00e-65c1496fcd5f"]
[description:"follow up recordings" due:"1625986800" end:"1625948951" entry:"1625948940" imask:"37" modified:"1625948951" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"9078b260-8744-49b3-a231-337fe08f966a"]
[description:"biology model reflection" due:"1623999600" end:"1623967032" entry:"1623964969" modified:"1623967032" project:"School" status:"completed" uuid:"cac888c2-988c-403e-ad47-a35a485497d4"]
[description:"physics" end:"1623964785" entry:"1622085022" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"52d5b1ee-9efe-4ff7-b090-5268e7afa85e"]
[description:"chemistry" end:"1623964786" entry:"1622085026" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"a8b5517f-79e8-44b3-a690-6d0020aa2c7d"]
[description:"civics" end:"1623964786" entry:"1622085042" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"aa459a84-d858-423d-afcf-f5839ed4010a"]
[description:"economics" end:"1623964786" entry:"1622085046" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"e7b1d615-a5a2-4a01-a892-da5770d456a9"]
[description:"geography" end:"1623964786" entry:"1622085051" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"1caf3938-362c-4ec7-914b-68ee581bc775"]
[description:"telugu" end:"1623964786" entry:"1622085079" modified:"1623964786" project:"Prerana" status:"deleted" uuid:"f60d12ee-12c3-4080-afb8-241848f69dd1"]
[description:"court questions" end:"1623964757" entry:"1622160720" modified:"1623964757" status:"completed" uuid:"60b6b9ed-6ae1-4830-9daa-1ebe42f04881"]
[description:"math 9.2" end:"1623964757" entry:"1622570408" modified:"1623964757" status:"completed" uuid:"a4905df6-1026-4e2d-a8ab-d54f9c677616"]
[description:"biology serengeti" end:"1623964737" entry:"1622570417" modified:"1623964737" status:"completed" uuid:"31acb6ea-b624-4364-a00f-0f4aed45c35e"]
[description:"biology model" end:"1623964737" entry:"1622571707" modified:"1623964737" status:"completed" uuid:"51197235-1a4b-424d-872a-3ebee35cb827"]
[description:"bpqs" end:"1623964731" entry:"1622160736" modified:"1623964731" status:"completed" uuid:"48d3953c-e493-43ff-b7fe-0fdaafe6385e"]
[description:"review math problems" due:"2147414400" end:"1623964725" entry:"1622086138" modified:"1623964725" project:"Prerana" status:"completed" uuid:"95aeec2e-addf-4e67-99a1-da40adf4dacd"]
[description:"review science" due:"2147414400" end:"1623964725" entry:"1622160791" modified:"1623964725" status:"completed" uuid:"159f848f-c716-48c5-9dff-5ea3bf5b3365"]
[description:"follow up recordings" due:"1623481200" end:"1623964714" entry:"1623964687" imask:"8" modified:"1623964715" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"3f531d77-9150-491f-a10f-d16660ee70b4"]
[description:"follow up recordings" due:"1623567600" end:"1623964715" entry:"1623964687" imask:"9" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"3548d307-debe-463f-a6e8-6862b70f3567"]
[description:"follow up recordings" due:"1623654000" end:"1623964716" entry:"1623964687" imask:"10" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"b88255f4-d4a9-4b87-b6c0-e41da8cb7f14"]
[description:"follow up recordings" due:"1623740400" end:"1623964716" entry:"1623964687" imask:"11" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"fa82ead6-7565-4323-80cd-36eaabf7e9ba"]
[description:"follow up recordings" due:"1623826800" end:"1623964716" entry:"1623964687" imask:"12" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"1d2c6cfb-2b4b-435d-a2f2-0dea8d1bcc8a"]
[description:"follow up recordings" due:"1623913200" end:"1623964716" entry:"1623964687" imask:"13" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"b0be9ac1-b4a7-4449-b50c-b11c912d7c8f"]
[description:"follow up recordings" due:"1623999600" end:"1623964716" entry:"1623964687" imask:"14" modified:"1623964716" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"d63836dc-0806-4bba-b8d4-0873194689e3"]
[description:"follow up recordings" due:"1623222000" end:"1623363017" entry:"1623282686" imask:"5" modified:"1623363019" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"98366f5c-7bfd-4fad-9026-1daeb745d8e5"]
[description:"follow up recordings" due:"1623308400" end:"1623363019" entry:"1623282686" imask:"6" modified:"1623363020" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"e10fb4b2-7061-42d9-a1d1-15698089966d"]
[description:"follow up recordings" due:"1623394800" end:"1623363020" entry:"1623363010" imask:"7" modified:"1623363021" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"a37a010e-a7c2-4688-9b55-c2d6ab6965c0"]
[description:"follow up recordings" due:"1622876400" end:"1623107658" entry:"1623106747" imask:"1" modified:"1623107664" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"fdfa4d06-03a3-41c2-95e1-9c895bbd9b33"]
[description:"follow up recordings" due:"1622962800" end:"1623107664" entry:"1623106747" imask:"2" modified:"1623107665" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"b55633d3-7519-47ef-9128-834260d1a280"]
[description:"follow up recordings" due:"1623049200" end:"1623107665" entry:"1623106747" imask:"3" modified:"1623107666" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"914c754b-c6f4-4f8d-abed-e842c4df62e1"]
[description:"follow up recordings" due:"1623135600" end:"1623107666" entry:"1623106747" imask:"4" modified:"1623107667" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"46126a56-fb22-4c09-b362-cdc83d5fa4f8"]
[description:"autocomplete nvim" end:"1623106750" entry:"1623091353" modified:"1623106750" status:"completed" uuid:"627406ce-7b1d-41d7-ac55-da0836824964"]
[description:"follow up recordings" due:"1622790000" end:"1622767831" entry:"1622767818" imask:"0" modified:"1622767831" parent:"5446b385-881a-4eb4-845c-f598150568c7" recur:"daily" status:"completed" uuid:"f3e0e133-e65f-4520-a23a-c9f23fbbc470"]
[description:"aleks" end:"1622762533" entry:"1622565535" modified:"1622762533" status:"completed" uuid:"947c2508-4146-41d7-9967-1f942a3046bc"]
[description:"read primary sources" due:"1621839600" end:"1622677219" entry:"1621629736" modified:"1622677219" status:"completed" uuid:"75228a9e-cb68-42a8-98a6-4ce757615668"]
[description:"two truths and a lie" end:"1622674763" entry:"1622576124" modified:"1622674763" status:"completed" uuid:"152aab19-0175-4624-949b-c486c67551cb"]
[description:"math 9.1" end:"1622674751" entry:"1622570403" modified:"1622674751" status:"completed" uuid:"35328009-b4f9-4667-bb3a-33e5203c0ff6"]
[description:"read article" end:"1622674736" entry:"1622160712" modified:"1622674736" status:"completed" uuid:"3ef7771a-52e5-4d1b-9d0c-f3b9bd503a6f"]
[description:"grammar review" end:"1622565474" entry:"1622160745" modified:"1622565474" status:"completed" uuid:"18b13289-6212-4975-bed2-f005e62ab4d3"]
[description:"julius caesar quiz" end:"1622565474" entry:"1622160767" modified:"1622565474" status:"completed" uuid:"70fb7c40-f2a6-4d7c-96cc-a6cfdd83cd00"]
[description:"read 2 acts" due:"1622012400" end:"1622167921" entry:"1621877611" modified:"1622167921" status:"completed" uuid:"b25bb324-d81d-4ef1-bc84-9618fc481d73"]
[description:"math" end:"1622085984" entry:"1622085029" modified:"1622085984" project:"Prerana" status:"completed" uuid:"72225033-5f2c-4400-9253-f6560b82d38e"]
[description:"roman flipgrid" due:"1621839600" end:"1621898531" entry:"1621631640" modified:"1621898531" status:"completed" uuid:"7fa087f8-9cd0-4a6a-8f36-081a3b17d456"]
[description:"band test" due:"1621926000" end:"1621894220" entry:"1621876127" modified:"1621894220" status:"completed" uuid:"dbc56623-9f92-4187-908e-7c25375c5926"]
[description:"read chinese philosophies" due:"1621666800" end:"1621876133" entry:"1621629701" modified:"1621876133" status:"completed" uuid:"1af4a5f8-9bb7-447b-823b-caa36aa03998"]
[description:"answer questions about philosophies" due:"1621666800" end:"1621876133" entry:"1621629721" modified:"1621876133" status:"completed" uuid:"bb6be09b-4b90-4a29-9721-698eca18e7ec"]
[description:"edit notes" due:"1621666800" end:"1621631630" entry:"1621629645" modified:"1621631630" status:"completed" uuid:"a3d8eabb-c48c-4347-b93c-46102f62d352"]
[description:"daily log" due:"1621666800" end:"1621630426" entry:"1621629661" modified:"1621630426" status:"completed" uuid:"09a85775-71ca-405b-9595-127404a3b1f5"]
[description:"The heart of the matter\n" end:"1621531797" entry:"1621373643" modified:"1621531797" status:"completed" uuid:"dde81bfa-fdfd-4d8e-aaac-54c04aa89063"]
